from_state,to_state
01100100001000111001101010110010111000110,11001000010100001111010110010000011110100
11001000010100001111010110010000011110100,00000000100000111100000010111100111111100
00000000100000111100000010111100111111100,10001001000011011111100100111110111111110
10001001000011011111100100111110111111110,11000001000000011110001100011110111111110
11000001000000011110001100011110111111110,01000000000000011100010110111110111111110
01000000000000011100010110111110111111110,11000001000000011111100110111110111111110
11000001000000011111100110111110111111110,11000001000000011110000110011110111111110
11000001000000011110000110011110111111110,01000000000000011100000110111110111111110
01000000000000011100000110111110111111110,11000001000000011111100110111110111111110
01111001000011111110101100100101010101011,10011000000000001111110010001101011100111
10011000000000001111110010001101011100111,00010110000000001100000010011101011110100
00010110000000001100000010011101011110100,00000000000000011101000001111100111111100
00000000000000011101000001111100111111100,10000001000010011101000100111110111111110
10000001000010011101000100111110111111110,11000001010100011110001100111110111111110
11000001010100011110001100111110111111110,11000001100000111110110110111110111111110
11000001100000111110110110111110111111110,11001001000000011110100110011110111111110
11001001000000011110100110011110111111110,01000000000000011100000110011110111111110
01000000000000011100000110011110111111110,01000000000000011101000110111110111111110
01000000000000011101000110111110111111110,11000001000000011111000110111110111111110
11000001000000011111000110111110111111110,11000001000000011110000110111110111111110
11000001000000011110000110111110111111110,11000001000000011110100110111110111111110
11000001000000011110100110111110111111110,11000001000000011110100110011110111111110
11000001000000011110100110011110111111110,01000000000000011100000110011110111111110
10001010011011011111010000000111111100011,01010110000000101100000111101101011110101
01010110000000101100000111101101011110101,10011000000000011101100011111101111111100
10011000000000011101100011111101111111100,10000001000010011100000100011100111111110
10000001000010011100000100011100111111110,00000000010100011100001100111110111111110
00000000010100011100001100111110111111110,11000001101001111111111100111110111111110
11000001101001111111111100111110111111110,11001001000000011110010110011110111111111
11001001000000011110010110011110111111111,01010000000000011100000110111111111111110
01010000000000011100000110111111111111110,11000001000000011111100110111100111111110
11000001000000011111100110111100111111110,10000001000000011110000110011110111111110
10000001000000011110000110011110111111110,01000000000000011100001100111110111111110
01000000000000011100001100111110111111110,11000001000000011111110110111110111111110
11000001000000011111110110111110111111110,11000001000000011110000110011110111111110
11000001000000011110000110011110111111110,01000000000000011100000110111110111111110
01000000000000011100000110111110111111110,11000001000000011111100110111110111111110
11000001000000011111100110111110111111110,11000001000000011110000110011110111111110
10000001100011101011001010010110010101000,01001000000000001100010000100000011100110
01001000000000001100010000100000011100110,10000001000000001111100010111100011110101
10000001000000001111100010111100011110101,10010100000000011110000010011111111111100
10010100000000011110000010011111111111100,01000000000010011100000100111100111111110
01000000000010011100000100111100111111110,10000001010100011111100110111110111111110
10000001010100011111100110111110111111110,11000001100000111110001100011110111111110
11000001100000111110001100011110111111110,01001000000000011100010110111110111111111
01001000000000011100010110111110111111111,11010010000000011111100110111111111111110
11010010000000011111100110111111111111110,11000001000000011110000111011100111111110
11000001000000011110000111011100111111110,00000000000000011100000110111110111111110
00000000000000011100000110111110111111110,11000001000000011111101100111110111111110
11000001000000011111101100111110111111110,11000001000000011110010110011110111111110
11000001000000011110010110011110111111110,01000000000000011100000110111110111111110
01000000000000011100000110111110111111110,11000001000000011111100110111110111111110
11000001000000011111100110111110111111110,11000001000000011110000110011110111111110
11000001000000011110000110011110111111110,01000000000000011100000110111110111111110
01011010010110101100110100110011010011011,11011010111100111111100011001101111101011
11011010111100111111100011001101111101011,00011000100000101100000111001101011110110
00011000100000101100000111001101011110110,00001000000001011100001000111100111111100
